Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Trey Lyles,PF,7,16.9,5.7,0.7,0.3,0,0.4,6.6,15,0.390532544,0.887573964,15.00353629,178
DeMarcus Cousins,C,6,9.9,2.7,1,0.4,0.3,1,9.1,15,0.919191919,1.515151515,14.93651307,179
Danny Green,SG,11.2,21.6,2.6,1.2,0.9,0.6,0.7,6.1,14.9,0.282407407,0.689814815,14.80974018,180
Jose Alvarado,PG,6,19.5,1.3,1.5,1.2,0.2,1.2,8,14.8,0.41025641,0.758974359,14.79062217,181
Onyeka Okongwu,C,9.7,17.5,4.8,0.6,0.5,0.9,0.7,4.6,14.7,0.262857143,0.84,14.76001845,182
Anfernee Simons,SG,5,19.2,2.8,1.6,0.9,0.1,0.6,6.6,14.8,0.34375,0.770833333,14.75850121,183
Duncan Robinson,SF,15.2,21,2.2,1.2,0.5,0.1,0.7,9.2,14.8,0.438095238,0.704761905,14.73804339,184
Jabari Parker,PF,4,14.8,3.8,0.5,0,0.8,1.5,8.5,14.7,0.574324324,0.993243243,14.7252866,185
Marvin Williams,PF,10,17.9,4.8,0.9,0.5,0.3,0.3,5.5,14.7,0.30726257,0.82122905,14.71421381,186
Santi Aldama,PF,6,16.8,4.3,1.2,0.5,0,0.3,6.5,14.7,0.386904762,0.875,14.6700835,187
Coby White,PG,5,19.6,3.4,1.8,0.2,0,1.2,8.4,14.6,0.428571429,0.744897959,14.5999951,188
Jeff Green,PF,10.8,23.2,3.2,1.1,0.5,0.4,0.7,6.9,14.4,0.297413793,0.620689655,14.39695061,189
Bones Hyland,PG,5,16.9,1.4,2,0.5,0.1,1,8.9,14.4,0.526627219,0.852071006,14.38726585,190
Kyle Kuzma,SF,13.5,22.2,3.4,1,0.3,0.2,1,8.2,14.4,0.369369369,0.648648649,14.28611396,191
Quentin Grimes,SG,9,26.9,2.8,1.4,1,0.6,1.1,5.1,14.3,0.189591078,0.531598513,14.25276356,192
Dwight Howard,C,15,14,5.4,0.6,0.3,0.4,1,5.2,14,0.371428571,1,13.67275751,193
Xavier Tillman Sr.,C,6,17.3,4.1,1.4,0.6,0.3,0.7,4.6,13.4,0.265895954,0.774566474,13.62320472,194
Jock Landale,C,7,16.1,4,0.4,0.4,0.4,0.3,6.1,13.6,0.378881988,0.844720497,13.60814161,195
Boban Marjanović,C,4.3,12.2,4.9,0.6,0.1,0.2,0.7,6.6,13.6,0.540983607,1.114754098,13.59591693,196
Chris Boucher,SF,6.5,13.9,3.8,0.2,0.1,0.8,0.2,6.1,13.2,0.438848921,0.949640288,13.4774083,197
Davion Mitchell,PG,7,20,1.3,1.7,0.9,0.1,0.9,7.1,13.3,0.355,0.665,13.30327077,198
Kendrick Nunn,PG,9.5,19.6,1.8,1.4,0.4,0.1,0.8,8.2,13,0.418367347,0.663265306,13.16690337,199
Max Strus,SF,14.3,20.1,2.6,1.2,0.4,0.2,0.5,6.7,12.9,0.333333333,0.641791045,12.92205074,200
Reggie Jackson,PG,12.3,16.6,1.8,1.5,0.4,0.1,0.7,7.7,13.1,0.463855422,0.789156627,12.90951682,201
Nemanja Bjelica,C,8.5,12.5,2.3,1,0.6,0.3,0.2,6,12.9,0.48,1.032,12.75707697,202
Wesley Matthews,SF,7.5,23,2,0.7,0.8,0.3,0.3,6.2,12.6,0.269565217,0.547826087,12.65222824,203
Nickeil Alexander-Walker,SG,3,17.3,1.5,1.2,0.8,0.1,0.4,6.7,12.6,0.387283237,0.728323699,12.6019126,204
Tyler Johnson,SG,6,16,1.3,1.4,0.2,0.2,0.4,8,12.1,0.5,0.75625,12.47680817,205
Precious Achiuwa,C,4.5,15.9,3.4,0.5,0.1,0.8,1.4,6.2,12.2,0.389937107,0.767295597,12.34189681,206
